odrůda,typ_vína,ročník,cukernatost,kyseliny,alkohol,cena,hodnocení
Modrý Portugal,červené,2019,,6.35,12.35,281.0,88.1
Frankovka,červené,2014,17.71,6.7,13.06,191.0,71.8
Modrý Portugal,červené,2017,19.91,5.87,11.02,205.0,96.4
Veltlínské,bílé,2015,,6.36,11.3,231.0,76.9
Pálava,bílé,2017,19.95,7.2,12.08,246.0,77.1
Veltlínské,bílé,2021,22.0,6.41,12.34,296.0,86.6
Modrý Portugal,červené,2021,15.26,6.09,13.19,191.0,82.3
Rulandské bílé,bílé,2021,22.71,6.38,11.76,277.0,83.0
Sauvignon,bílé,2019,,6.14,12.88,277.0,79.1
Veltlínské,bílé,2017,17.83,6.26,11.82,246.0,79.6
Sauvignon,bílé,2020,23.65,6.59,12.26,238.0,96.4
Rulandské bílé,bílé,2017,21.19,5.51,13.87,190.0,73.8
Modrý Portugal,červené,2019,19.66,6.31,12.78,246.0,83.2
Rulandské bílé,bílé,2015,21.06,5.67,12.01,203.0,93.8
Ryzlink,bílé,2019,21.88,6.2,12.32,306.0,80.1
Rulandské bílé,bílé,2015,19.93,6.66,13.07,222.0,82.8
Modrý Portugal,červené,2017,13.75,5.06,13.14,228.0,65.4
Svatovavřinecké,červené,2015,20.0,6.56,13.19,247.0,84.0
Rulandské bílé,bílé,2019,18.1,5.45,13.26,227.0,78.5
Ryzlink,bílé,2020,18.56,6.08,12.9,279.0,65.3
Modrý Portugal,červené,2015,20.82,5.73,11.2,213.0,90.3
Ryzlink,bílé,2019,22.22,6.22,13.0,235.0,89.9
Svatovavřinecké,červené,2014,21.79,6.29,13.08,242.0,87.9
Rulandské bílé,bílé,2021,23.06,5.98,11.82,282.0,97.4
Sauvignon,bílé,2014,21.14,,11.34,232.0,90.8
Modrý Portugal,červené,2017,21.33,5.73,10.89,255.0,84.6
Frankovka,červené,2014,22.56,5.64,12.13,202.0,87.6
Pálava,bílé,2020,23.04,5.78,12.99,256.0,85.4
Ryzlink,bílé,2016,24.84,4.99,13.53,,80.6
Ryzlink,bílé,2021,22.86,6.63,12.59,261.0,86.7
Pálava,bílé,2019,24.65,5.42,,300.0,83.4
Rulandské bílé,bílé,2015,21.2,6.11,11.69,233.0,88.6
Svatovavřinecké,červené,2014,20.46,6.27,12.89,266.0,79.6
Sauvignon,bílé,2014,16.99,5.67,12.99,217.0,75.6
Veltlínské,bílé,2016,15.99,6.73,11.71,178.0,77.3
Pálava,bílé,2020,17.65,6.66,,211.0,92.8
Svatovavřinecké,červené,2019,,6.14,13.69,221.0,89.8
Veltlínské,bílé,2015,18.37,5.42,,223.0,71.3
Pálava,bílé,2019,25.91,6.47,13.85,331.0,74.6
Svatovavřinecké,červené,2017,,6.57,11.97,,76.7
Ryzlink,bílé,2020,19.87,5.37,10.97,252.0,86.7
Frankovka,červené,2018,21.12,6.34,12.88,,79.4
Ryzlink,bílé,2021,20.78,7.26,13.3,264.0,80.8
Svatovavřinecké,červené,2015,23.63,5.67,12.26,292.0,89.3
Rulandské bílé,bílé,2020,19.15,5.91,,271.0,89.8
Sauvignon,bílé,2014,26.45,6.12,12.25,265.0,97.9
Pálava,bílé,2017,19.56,7.33,14.34,243.0,69.8
Pálava,bílé,2015,17.77,6.63,13.73,286.0,75.6
Pálava,bílé,2017,21.75,5.64,12.96,304.0,88.4
Modrý Portugal,červené,2014,19.21,6.56,13.4,221.0,71.7
Rulandské bílé,bílé,2022,20.72,5.53,11.85,323.0,79.0
Frankovka,červené,2019,17.54,4.99,12.82,195.0,89.5
Modrý Portugal,červené,2015,19.83,5.53,10.52,212.0,84.2
Modrý Portugal,červené,2018,18.98,6.06,11.59,225.0,72.4
Sauvignon,bílé,2017,21.65,6.3,12.08,240.0,79.8
Veltlínské,bílé,2016,25.06,4.5,,298.0,89.1
Rulandské bílé,bílé,2016,25.03,,12.72,269.0,87.8
Pálava,bílé,2014,18.2,7.4,11.19,212.0,76.3
Ryzlink,bílé,2016,17.62,6.7,12.3,181.0,82.3
Sauvignon,bílé,2014,23.88,6.09,13.0,241.0,90.1
Veltlínské,bílé,2016,20.66,6.44,13.17,217.0,80.3
Frankovka,červené,2021,17.7,6.25,11.16,275.0,78.7
Ryzlink,bílé,2014,19.0,6.47,12.86,193.0,81.9
Sauvignon,bílé,2017,17.73,6.78,13.47,234.0,74.8
Veltlínské,bílé,2021,20.87,6.69,11.62,245.0,85.4
Veltlínské,bílé,2014,22.52,5.48,11.38,247.0,94.0
Veltlínské,bílé,2019,18.22,6.34,,255.0,80.7
Modrý Portugal,červené,2018,24.14,6.72,,266.0,90.2
Frankovka,červené,2020,20.69,6.03,13.4,214.0,74.6
Veltlínské,bílé,2014,21.08,6.35,11.68,217.0,89.6
Pálava,bílé,2021,22.67,6.01,,288.0,88.6
Svatovavřinecké,červené,2022,19.48,7.03,11.84,213.0,75.4
Sauvignon,bílé,2022,20.68,6.44,11.53,213.0,68.5
Sauvignon,bílé,2015,23.62,6.53,13.37,239.0,89.4
Frankovka,červené,2014,17.55,6.13,,173.0,82.4
Pálava,bílé,2015,18.95,7.02,12.04,213.0,77.6
Modrý Portugal,červené,2021,19.88,5.51,13.37,244.0,73.1
Pálava,bílé,2019,19.72,7.01,12.58,234.0,77.6
Modrý Portugal,červené,2017,24.01,5.92,12.65,266.0,83.7
Frankovka,červené,2014,22.77,6.2,11.22,231.0,87.7
Sauvignon,bílé,2018,19.91,7.47,12.84,262.0,80.5
Veltlínské,bílé,2022,22.01,6.17,11.24,289.0,83.0
Ryzlink,bílé,2018,25.12,6.09,12.08,254.0,86.5
Modrý Portugal,červené,2017,25.2,6.12,13.0,281.0,94.0
Modrý Portugal,červené,2019,21.19,6.94,,234.0,81.4
Svatovavřinecké,červené,2015,21.55,5.87,,247.0,88.2
Pálava,bílé,2022,22.43,6.96,12.13,258.0,84.5
Svatovavřinecké,červené,2014,27.46,5.49,13.1,273.0,98.5
Sauvignon,bílé,2015,20.05,5.63,12.49,182.0,72.8
Modrý Portugal,červené,2019,21.64,7.22,13.33,276.0,83.9
Svatovavřinecké,červené,2022,15.83,6.55,11.68,246.0,67.8
Rulandské bílé,bílé,2022,20.96,5.86,13.78,263.0,80.8
Sauvignon,bílé,2018,23.94,6.57,12.98,240.0,91.4
Veltlínské,bílé,2020,19.72,6.2,12.91,296.0,89.9
Frankovka,červené,2022,24.33,6.91,12.73,297.0,89.2
Svatovavřinecké,červené,2021,19.55,,13.14,293.0,85.4
Rulandské bílé,bílé,2016,23.95,6.73,12.99,248.0,84.3
Veltlínské,bílé,2014,20.49,5.54,11.24,215.0,95.2
Pálava,bílé,2014,20.91,6.75,13.12,,77.7
Ryzlink,bílé,2019,18.97,5.87,11.43,207.0,86.1
Rulandské bílé,bílé,2017,16.73,6.11,12.47,207.0,74.8
Pálava,bílé,2019,20.4,6.5,13.27,260.0,88.4
Veltlínské,bílé,2019,18.75,6.77,13.41,241.0,82.1
Rulandské bílé,bílé,2016,20.69,6.18,11.69,255.0,76.7
Rulandské bílé,bílé,2016,19.33,5.69,12.36,210.0,86.6
Sauvignon,bílé,2021,18.85,6.74,12.62,222.0,72.4
Pálava,bílé,2017,15.72,6.63,11.42,163.0,77.0
Frankovka,červené,2015,20.48,6.5,12.19,226.0,76.6
Rulandské bílé,bílé,2017,20.66,6.09,12.04,242.0,83.8
Ryzlink,bílé,2017,24.85,4.51,13.69,272.0,77.0
Ryzlink,bílé,2020,22.32,4.84,10.85,251.0,82.3
Sauvignon,bílé,2016,17.7,5.94,12.81,222.0,86.1
Rulandské bílé,bílé,2017,23.55,7.07,11.86,243.0,81.5
Modrý Portugal,červené,2015,18.65,5.55,12.2,257.0,82.2
Sauvignon,bílé,2022,21.25,,13.28,298.0,77.3
Sauvignon,bílé,2014,20.54,6.48,12.55,221.0,84.9
Sauvignon,bílé,2016,21.0,6.53,12.09,258.0,87.4
Frankovka,červené,2017,21.52,6.64,12.83,272.0,88.9
Rulandské bílé,bílé,2021,22.09,7.06,11.68,286.0,78.3
Svatovavřinecké,červené,2016,17.67,5.51,11.88,241.0,63.8
Rulandské bílé,bílé,2021,24.76,5.29,12.36,289.0,90.1
Veltlínské,bílé,2021,23.77,,12.78,,80.2
Sauvignon,bílé,2015,,6.65,12.36,253.0,81.6
Sauvignon,bílé,2018,21.31,5.87,11.49,220.0,89.5
Sauvignon,bílé,2021,18.5,5.64,11.63,233.0,74.8
Sauvignon,bílé,2018,22.51,7.02,12.79,259.0,73.3
Ryzlink,bílé,2021,,5.24,11.69,271.0,80.5
Modrý Portugal,červené,2022,19.88,6.26,12.86,267.0,73.3
Modrý Portugal,červené,2014,21.81,6.38,13.18,161.0,88.7
Rulandské bílé,bílé,2016,21.71,7.49,11.57,241.0,80.9
Svatovavřinecké,červené,2021,,6.12,11.44,281.0,91.6
Modrý Portugal,červené,2018,19.19,5.77,12.05,249.0,79.9
Modrý Portugal,červené,2017,18.45,5.41,13.21,171.0,80.1
Sauvignon,bílé,2021,23.61,5.91,13.3,318.0,80.3
Rulandské bílé,bílé,2017,21.09,,12.44,295.0,94.4
Modrý Portugal,červené,2021,19.07,5.97,12.57,246.0,91.3
Pálava,bílé,2014,18.35,5.52,13.11,205.0,88.7
Modrý Portugal,červené,2021,23.02,,11.82,243.0,86.2
Sauvignon,bílé,2020,22.89,6.69,11.91,300.0,86.2
Modrý Portugal,červené,2022,16.21,5.68,13.24,267.0,70.0
Rulandské bílé,bílé,2020,21.79,5.13,11.9,271.0,87.9
Frankovka,červené,2022,22.23,7.41,11.71,235.0,76.6
Modrý Portugal,červené,2014,19.31,5.49,12.34,207.0,78.7
Veltlínské,bílé,2019,19.03,6.39,12.24,258.0,86.0
Sauvignon,bílé,2017,,6.53,11.95,296.0,85.8
Pálava,bílé,2016,21.35,6.19,13.18,264.0,81.5
Sauvignon,bílé,2018,21.07,5.13,11.6,253.0,94.7
Rulandské bílé,bílé,2017,26.99,5.9,12.52,263.0,92.6
Svatovavřinecké,červené,2017,24.63,6.32,13.88,262.0,83.0
Frankovka,červené,2021,22.38,6.68,13.64,301.0,85.3
Ryzlink,bílé,2015,23.36,6.43,13.25,,91.6
Frankovka,červené,2022,21.22,7.41,13.64,260.0,84.6
Ryzlink,bílé,2014,18.97,6.47,13.27,217.0,79.9
Frankovka,červené,2015,23.04,6.44,12.47,260.0,83.1
Modrý Portugal,červené,2018,17.29,7.49,13.29,248.0,70.4
Modrý Portugal,červené,2021,19.06,,10.86,240.0,77.1
Svatovavřinecké,červené,2016,17.78,6.15,12.61,213.0,82.1
Sauvignon,bílé,2018,23.89,5.36,12.97,246.0,83.8
Ryzlink,bílé,2022,19.84,6.74,12.82,229.0,72.2
Rulandské bílé,bílé,2017,21.77,5.84,13.07,260.0,87.5
Frankovka,červené,2018,22.1,5.75,12.42,285.0,92.1
Rulandské bílé,bílé,2020,24.54,6.04,,303.0,88.4
Ryzlink,bílé,2016,20.38,6.08,12.02,264.0,80.7
Sauvignon,bílé,2021,24.01,5.71,13.05,295.0,83.3
Frankovka,červené,2021,23.28,6.96,13.55,299.0,83.9
Rulandské bílé,bílé,2021,26.23,6.05,12.95,289.0,83.6
Sauvignon,bílé,2018,17.8,5.58,,239.0,68.4
Pálava,bílé,2021,21.44,5.45,13.93,256.0,89.5
Modrý Portugal,červené,2022,20.95,5.65,,271.0,69.6
Svatovavřinecké,červené,2018,21.07,6.6,13.18,272.0,74.6
Frankovka,červené,2014,22.34,7.14,11.72,238.0,84.3
Modrý Portugal,červené,2021,21.46,6.72,12.97,281.0,78.8
Pálava,bílé,2020,19.24,5.83,12.18,271.0,82.0
Rulandské bílé,bílé,2017,19.22,5.77,12.8,255.0,88.8
Pálava,bílé,2018,21.67,6.88,12.04,320.0,82.3
Modrý Portugal,červené,2015,21.72,6.66,13.33,238.0,76.3
Pálava,bílé,2015,17.76,6.13,14.05,212.0,81.6
Sauvignon,bílé,2021,,6.36,13.58,239.0,79.1
